hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight
46135,4512601878822912,-39.4965,-8.13864,598.0,-1.18005,-0.255313,17.9272,2.65755e-05
47693,4521879008182272,29.7822,5.7026,598.0,0.300576,0.0491562,6.00683,1.00827e-05
47696,4510540294520832,54.4505,19.1676,598.0,0.676876,0.219899,7.37756,1.55602e-05
48281,4535210586669056,2.17646,50.5015,598.0,0.00124871,0.442641,5.28081,1.07578e-05
48297,4515556816322560,4.15659,52.7405,598.0,0.00644358,0.24995,2.83779,1.16131e-05
48887,4504080663707648,-55.4298,27.966,598.0,-0.577502,0.270107,6.166,1.15599e-05
49200,4512601878822912,-46.0746,-9.56755,698.0,-1.17886,-0.257737,17.9266,1.54621e-05
50667,4521879008182272,34.7803,6.5004,698.0,0.300963,0.0470056,6.00625,7.7781e-06
50685,4510540294520832,63.6709,22.0986,698.0,0.681317,0.214104,7.3767,1.14108e-05
51268,4515556816322560,4.33195,61.5195,698.0,0.00242663,0.248342,2.83734,6.96788e-06
51298,4535210586669056,2.1599,58.8643,698.0,-0.0027314,0.441244,5.28027,8.1097e-06
51900,4504080663707648,-64.8193,32.2588,698.0,-0.579965,0.262001,6.16555,8.31505e-06
52216,4512601878822912,-53.9777,-11.294,818.0,-1.18007,-0.260281,17.9254,9.90542e-06
53693,4521879008182272,40.8229,7.43627,818.0,0.302769,0.0459245,6.00544,5.1854e-06
53705,4510540294520832,74.7672,25.5119,818.0,0.682669,0.20737,7.37516,8.29876e-06
54277,4515556816322560,4.40667,72.1891,818.0,-0.00123083,0.252519,2.83639,6.19367e-06
54289,4535210586669056,2.03108,68.9205,818.0,-0.00878442,0.442391,5.27959,5.95815e-06
54882,4504080663707648,-76.122,37.2443,818.0,-0.581414,0.251821,6.16528,6.38839e-06
55194,4512601878822912,-63.175,-13.3383,958.0,-1.17612,-0.26409,17.9251,7.97265e-06
56473,4521879008182272,47.935,8.45989,958.0,0.305082,0.0422648,6.00453,3.02482e-06
56495,4510540294520832,87.7349,29.3973,958.0,0.683541,0.201367,7.37448,4.66806e-06
56943,4535210586669056,1.75755,80.6279,958.0,-0.0127644,0.441512,5.27893,3.88935e-06
56962,4515556816322560,4.10058,84.6826,958.0,-0.00947738,0.252363,2.8359,5.03236e-06
57480,4504080663707648,-89.3545,42.9525,958.0,-0.583508,0.247995,6.16465,3.95472e-06
57731,4512601878822912,-72.3482,-15.4163,1098.0,-1.17354,-0.268635,17.9244,1.08718e-05
58814,4521879008182272,55.0577,9.398,1098.0,0.30549,0.0390399,6.00069,3.02482e-06
58876,4510540294520832,100.74,33.1635,1098.0,0.684816,0.194858,7.37314,4.66806e-06
59240,4515556816322560,3.43441,97.1962,1098.0,-0.0162199,0.252883,2.83535,3.48394e-06
59242,4535210586669056,1.40247,92.3344,1098.0,-0.0151742,0.440805,5.27841,3.22733e-06
59691,4504080663707648,-102.592,48.4994,1098.0,-0.583313,0.240368,6.16448,3.95472e-06
59913,4512601878822912,-85.4198,-18.4663,1298.0,-1.1696,-0.277035,17.9231,1.40125e-05
60799,4521879008182272,65.1736,10.6658,1298.0,0.303366,0.0371125,6.00016,3.60097e-06
60847,4510540294520832,119.289,38.3291,1298.0,0.684524,0.187335,7.37269,4.66806e-06
61201,4535210586669056,0.577684,108.971,1298.0,-0.0256088,0.437191,5.2782,3.22733e-06
61204,4515556816322560,1.92996,114.929,1298.0,-0.0250112,0.249523,2.835,3.48394e-06
61546,4504080663707648,-121.598,56.1388,1298.0,-0.586646,0.230126,6.1639,4.36033e-06
61752,4512601878822912,-98.4472,-21.5993,1498.0,-1.16584,-0.284349,17.9227,1.59453e-05
62502,4521879008182272,75.2567,11.9278,1498.0,0.302176,0.0358345,5.99958,5.47348e-06
62545,4510540294520832,137.9,43.3338,1498.0,0.686449,0.181443,7.37195,6.74275e-06
62846,4515556816322560,0.0833498,132.353,1498.0,-0.0290246,0.245145,2.83471,3.48394e-06
62853,4535210586669056,-0.431888,125.57,1498.0,-0.0292032,0.436576,5.27768,4.88237e-06
63129,4504080663707648,-140.546,63.3723,1498.0,-0.584875,0.21804,6.16403,5.98278e-06
